SECCION,P_12YMAS,POBFEM,POBMAS,PNACENT,PRES2015,P3YM_HLI,P15YM_AN,P15YM_SE,GRAPROES,PROM_HNV,PEA,PDESOCUP,PSINDER,PAFIL_IPRIV,PCATOLICA,p_joven,p_vieja,POBTOT
864,0.7511365549755851,0.5108604142111467,0.48913958578885336,0.9117696581916147,0.8912274793736319,0,0.0020205421788179827,0.0015154066341134872,9.762414547903692,1.9489780077619665,3480.0596278861244,49.258686393185386,0.117528203401246,0.0018521636639164843,0.7715103552786664,0.11601279676713251,0.051018690015154064,5939
865,0.812236754599867,0.511859898027045,0.48725338062513857,0.914874750609621,0.911106184881401,0,0.008423852804256263,0.012414098869430281,10.39145643981379,2.0752297008547007,2720.8815502183406,18.467521834061134,0.09886943028153403,0.0017734426956328973,0.7685657282199069,0.1183772999334959,0.09576590556417645,4511
866,0.8347523219814241,0.5309597523219814,0.46904024767801855,0.8897058823529411,0.9071207430340558,0,0.0042569659442724455,0.005030959752321981,11.61737229102167,2.019929947460595,1502.2420027816413,15.573481687528975,0.10371517027863777,0.014705882352941176,0.7894736842105263,0.125,0.13815789473684212,2584
867,0.835820895522388,0.5018656716417911,0.4701492537313433,0.9123134328358209,0.9048507462686567,0,0.022388059701492536,0.013059701492537313,8.665559701492539,2.4210300429184546,288.3392857142857,0,0.11940298507462686,0.016791044776119403,0.7089552238805971,0.10820895522388059,0.1958955223880597,536
868,0.8773333333333333,0.512,0.48,0.864,0.912,0,0.010666666666666666,0.010666666666666666,9.971866666666665,2.195147928994083,219.98480243161094,3.419452887537994,0.14133333333333334,0,0.8133333333333334,0.09333333333333334,0.21333333333333335,375
869,0.7755865351921115,0.504590275416525,0.48894933696021764,0.8677320639238354,0.8609316558993539,0,0,0,11.449646378782726,1.7401937657961244,1738.0394563787813,10.31477422183253,0.1346480788847331,0.023461407684461068,0.7181230873852431,0.12002720163209793,0.10438626317579054,2941
870,0.7660349854227405,0.4912536443148688,0.5087463556851312,0.9249271137026239,0.8994169096209913,0,0.00510204081632653,0.009475218658892129,9.13792274052478,2.077319391634981,780.6431969552807,7.832540437678402,0.08965014577259475,0.008746355685131196,0.7405247813411079,0.10787172011661808,0.06924198250728864,1372
871,0.8946459412780656,0.538860103626943,0.46113989637305697,0.9058721934369602,0.9222797927461139,0,0,0,11.283203799654578,2.366921708185053,563.3513513513514,3.353281853281853,0.11226252158894647,0.02849740932642487,0.805699481865285,0.08549222797927461,0.31088082901554404,1158
872,0.8586278586278586,0.5176715176715176,0.48232848232848236,0.8586278586278586,0.920997920997921,0,0,0,11.80051975051975,2.0705529953917052,242.24697336561744,0,0.14760914760914762,0.04781704781704782,0.7401247401247402,0.11850311850311851,0.20582120582120583,481
873,0.8582202111613876,0.5113122171945701,0.48265460030165913,0.8959276018099548,0.9079939668174962,0,0,0,12.076003016591255,2.112823129251701,390.34270650263625,3.4956063268892796,0.17194570135746606,0.02865761689291101,0.8099547511312217,0.06787330316742081,0.2383107088989442,663
874,0.7894736842105263,0.47368421052631576,0.41148325358851673,0.6650717703349283,0.7751196172248804,0,0,0,11.527607655502392,1.9880232558139534,110.2,0,0.17703349282296652,0.03349282296650718,0.7751196172248804,0.028708133971291867,0.24880382775119617,209
875,0.8575197889182058,0.5461741424802111,0.44591029023746703,0.8522427440633246,0.8812664907651715,0.0079155672823219,0,0,11.630580474934037,1.9664835164835164,201.7446153846154,0,0.20580474934036938,0.0158311345646438,0.7968337730870713,0.10554089709762533,0.2559366754617414,379
876,0.8674579624134521,0.5004945598417408,0.49752720079129575,0.8793273986152325,0.9179030662710188,0,0.008902077151335312,0.004945598417408506,9.748773491592482,2.1018820861678,556.7993158494869,10.375142531356898,0.13254203758654798,0,0.7903066271018794,0.10385756676557864,0.19485657764589515,1011
877,0.8828451882845189,0.4811715481171548,0.5188284518828452,0.8661087866108786,0.8702928870292888,0,0,0,10.904142259414227,2.4162264150943398,132.5260663507109,3.3981042654028437,0.09623430962343096,0,0.8577405857740585,0.11715481171548117,0.29707112970711297,239
878,0.8705035971223022,0.5143884892086331,0.4856115107913669,0.9100719424460432,0.9496402877697842,0,0.03597122302158273,0.017985611510791366,8.289136690647483,2.992741935483871,143.59504132231405,0,0.12949640287769784,0,0.8201438848920863,0.09352517985611511,0.27697841726618705,278
879,0.8783783783783784,0.5366795366795367,0.4575289575289575,0.8938223938223938,0.9247104247104247,0,0,0.005791505791505791,10.21561776061776,2.09932,242.4923076923077,0,0.19111969111969113,0,0.803088803088803,0.12162162162162163,0.2528957528957529,518
880,0.8595505617977528,0.5126404494382022,0.48174157303370785,0.9199438202247191,0.9325842696629213,0,0,0.004213483146067416,9.793455056179775,2.614454828660436,353.6732026143791,0,0.05758426966292135,0.0056179775280898875,0.7935393258426966,0.10112359550561797,0.20224719101123595,712
881,0.8067814854682455,0.4940796555435953,0.492465016146394,0.9052744886975242,0.8966630785791173,0,0.01022604951560818,0.011840688912809472,8.550123789020454,2.431520861372813,1013.90527018012,0,0.13885898815931108,0.007534983853606028,0.7766415500538213,0.10871905274488698,0.14531754574811626,1858
882,0.7589358010410642,0.5020242914979757,0.49230769230769234,0.9154424522845576,0.8850202429149797,0,0.0015037593984962407,0.0030075187969924814,9.564416425679585,1.8731629585087193,5320.608139003201,42.16430422191739,0.09716599190283401,0.011798727588201273,0.784384037015616,0.1209947946790052,0.0459224985540775,8645
883,0.7468898439267134,0.5073512779914047,0.49174394933273013,0.9142727889617733,0.8796652341099299,0,0.0049762497172585385,0.0027143180275955667,9.456050667269846,2.0170818505338075,2664.382192610539,14.727740763173834,0.1060845962451934,0.005881022393123728,0.785342682650984,0.1146799366659127,0.044333861117394256,4421
884,0.8157205240174672,0.5100436681222708,0.48995633187772925,0.896943231441048,0.8978165938864628,0,0.005240174672489083,0.013973799126637555,9.368218340611355,2.461099585062241,653.4100642398288,3.6777301927194865,0.10829694323144105,0.005240174672489083,0.8279475982532751,0.10043668122270742,0.1703056768558952,1145
885,0.8401253918495298,0.5031347962382445,0.493730407523511,0.896551724137931,0.9357366771159875,0,0.012539184952978056,0.009404388714733543,9.3319592476489035,2.4761423220973784,349.94776119402985,0,0.07053291536050156,0,0.8275862068965517,0.08150470219435736,0.21003134796238246,638
886,0.8218135700697526,0.4990488268864933,0.4984147114774889,0.9156626506024096,0.906150919467343,0,0.008243500317057704,0.008243500317057704,8.937679137603043,2.5570489296636087,865.1597222222223,23.1195987654321,0.12175015852885225,0.013950538998097653,0.7882054533925175,0.11477488902980343,0.186429930247305,1577
887,0.7841065686724851,0.491502067064768,0.4832338079926504,0.8957280661460726,0.9067524115755627,0,0.002756086357372531,0.002756086357372531,10.352526412494258,2.0186016451233844,1156.7305213825425,7.6520210896309315,0.08773541570969223,0.0059715204409738175,0.7661920073495636,0.09095084979329353,0.11391823610473129,2177
888,0.8382687927107062,0.5079726651480638,0.4920273348519362,0.89749430523918,0.9157175398633257,0,0,0,10.695899772209566,1.67627027027027,264.83152173913044,3.578804347826087,0.10933940774487472,0,0.8382687927107062,0.1867881548974943,0.04100227790432802,439
903,0.7615740740740741,0.47685185185185186,0.5231481481481481,0.9421296296296297,0.9143518518518519,0,0.016203703703703703,0.011574074074074073,8.89,1.992967741935484,252.10942249240122,0,0.09027777777777778,0,0.7847222222222222,0.12962962962962962,0.016203703703703703,432
908,0.7738619676945668,0.46402349486049926,0.4801762114537445,0.7342143906020558,0.8281938325991189,0.005873715124816446,0.004405286343612335,0.020558002936857563,8.18638766519824,2.205423076923077,372.1593927893738,0,0.08663729809104258,0.00881057268722467,0.7298091042584435,0.07929515418502203,0.12187958883994127,681
909,0.7209737827715356,0.3782771535580524,0.46441947565543074,0.6928838951310862,0.7490636704119851,0.020599250936329586,0,0,8.350973782771538,2.2282035928143715,269.0805194805195,0,0.11610486891385768,0.0149812734082397,0.7509363295880149,0.054307116104868915,0.16292134831460675,534
910,0.7620558375634517,0.48350253807106597,0.46573604060913704,0.748730964467005,0.8388324873096447,0.008248730964467006,0.004441624365482234,0.00951776649746193,8.793381979695434,2.079471074380165,887.0741049125729,3.936719400499584,0.1713197969543147,0.025380710659898477,0.8134517766497462,0.09898477157360407,0.108502538071066,1576
911,0.6955555555555556,0.3888888888888889,0.41333333333333333,0.7066666666666667,0.7533333333333333,0,0.006666666666666667,0.006666666666666667,6.98528888888889,2.115472972972973,172.52396166134184,4.313099041533546,0.024444444444444446,0.04666666666666667,0.7311111111111112,0.028888888888888888,0.15333333333333332,450
912,0.629080118694362,0.3293768545994065,0.3887240356083086,0.6112759643916914,0.6795252225519288,0,0,0.008902077151335312,6.122551928783383,2.214731182795699,139.8867924528302,11.127358490566039,0.10385756676557864,0,0.5756676557863502,0.01483679525222552,0.1661721068249258,337
913,0.551923076923077,0.36730769230769234,0.33653846153846156,0.6057692307692307,0.6173076923076923,0,0.025,0.032692307692307694,5.439211538461537,2.8052702702702708,115.95818815331009,0,0.051923076923076926,0,0.6596153846153846,0.01730769230769231,0.11153846153846154,520
